nr,positionX,positionY,positionZ,velocityX,velocityY,velocityZ,accelerationX,accelerationY,accelerationZ
"",m,m,m,m/s,m/s,m/s,m/s^2,m/s^2,m/s^2
1,-0.0,-0.11372034956304619225967540574282E-16,-0.0,-0.0,-0.11372034956304619225967540574282E-10,-0.0,-0.0,-0.11372034956304619225967540574282E-4,-0.0
2,-0.0,-0.11372034956304619225967540574282E-16,-0.646615895237071014540189307684985880149812734082397003745318352059925093633E-35,-0.0,-0.11372034956304619225967540574282E-10,-0.646615895237071014540189307684985880149812734082397003745318352059925093633E-29,-0.0,-0.11372034956304619225967540574282E-4,-0.646615895237071014540189307684985880149812734082397003745318352059925093633E-23
3,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581437963617575409015883703423155512538166243506244069912609238451935081149E-16,-0.646615895237071014540189307684985880149812734082397003745318352059925093633E-35,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581437963617575409015883703423155512538166243506244069912609238451935081149E-10,-0.646615895237071014540189307684985880149812734082397003745318352059925093633E-29,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581437963617575409015883703423155512538166243506244069912609238451935081149E-4,-0.646615895237071014540189307684985880149812734082397003745318352059925093633E-23
4,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581437963617575409015883703423155512538166243506244069912609238451935081149E-16,-0.6466158952370710145401893076849942563460303586492648969179952286026424370199281797798107656334676876636089657434355632511482993324511651322486953807740324594257178526841448189762796504E-35,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581437963617575409015883703423155512538166243506244069912609238451935081149E-10,-0.6466158952370710145401893076849942563460303586492648969179952286026424370199281797798107656334676876636089657434355632511482993324511651322486953807740324594257178526841448189762796504E-29,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581437963617575409015883703423155512538166243506244069912609238451935081149E-4,-0.6466158952370710145401893076849942563460303586492648969179952286026424370199281797798107656334676876636089657434355632511482993324511651322486953807740324594257178526841448189762796504E-23
5,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110193533823641829204559135982985538746682853335234366008295968402435915611951706477234293587447650486829041725309031625784269662921348314606741573E-16,-0.6466158952370710145401893076849942563460303586492648969179952286026424370199281797798107656334676876636089657434355632511482993324511651322486953807740324594257178526841448189762796504E-35,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110193533823641829204559135982985538746682853335234366008295968402435915611951706477234293587447650486829041725309031625784269662921348314606741573E-10,-0.6466158952370710145401893076849942563460303586492648969179952286026424370199281797798107656334676876636089657434355632511482993324511651322486953807740324594257178526841448189762796504E-29,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110193533823641829204559135982985538746682853335234366008295968402435915611951706477234293587447650486829041725309031625784269662921348314606741573E-4,-0.6466158952370710145401893076849942563460303586492648969179952286026424370199281797798107656334676876636089657434355632511482993324511651322486953807740324594257178526841448189762796504E-23
6,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110193533823641829204559135982985538746682853335234366008295968402435915611951706477234293587447650486829041725309031625784269662921348314606741573E-16,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674953364519322935219995578631024673685613864608654796502469911122209035911939331729159000017981313875438560616469411303325150584241608102231760860702684144818976279650436953807740324594257179E-35,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110193533823641829204559135982985538746682853335234366008295968402435915611951706477234293587447650486829041725309031625784269662921348314606741573E-10,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674953364519322935219995578631024673685613864608654796502469911122209035911939331729159000017981313875438560616469411303325150584241608102231760860702684144818976279650436953807740324594257179E-29,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110193533823641829204559135982985538746682853335234366008295968402435915611951706477234293587447650486829041725309031625784269662921348314606741573E-4,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674953364519322935219995578631024673685613864608654796502469911122209035911939331729159000017981313875438560616469411303325150584241608102231760860702684144818976279650436953807740324594257179E-23
7,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525895742983363756746632975920723860636563252639186233374469511834444312851319889343264086693895643689677287849224727368165493341332284132133014377019928222524590828256190373768120685597435165823283395755305867665418227E-16,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674953364519322935219995578631024673685613864608654796502469911122209035911939331729159000017981313875438560616469411303325150584241608102231760860702684144818976279650436953807740324594257179E-35,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525895742983363756746632975920723860636563252639186233374469511834444312851319889343264086693895643689677287849224727368165493341332284132133014377019928222524590828256190373768120685597435165823283395755305867665418227E-10,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674953364519322935219995578631024673685613864608654796502469911122209035911939331729159000017981313875438560616469411303325150584241608102231760860702684144818976279650436953807740324594257179E-29,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525895742983363756746632975920723860636563252639186233374469511834444312851319889343264086693895643689677287849224727368165493341332284132133014377019928222524590828256190373768120685597435165823283395755305867665418227E-4,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674953364519322935219995578631024673685613864608654796502469911122209035911939331729159000017981313875438560616469411303325150584241608102231760860702684144818976279650436953807740324594257179E-23
8,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525895742983363756746632975920723860636563252639186233374469511834444312851319889343264086693895643689677287849224727368165493341332284132133014377019928222524590828256190373768120685597435165823283395755305867665418227E-16,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674962119992133830337655462312883887121871680576495659188831446795372886800153225236600961286394680605490215091302925844431495985936043593587416667826968888677870090274393018701599747832367426902403112021575412899738534650876212577046719846134903156323010595692883895131086142322097378277153558052434E-35,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525895742983363756746632975920723860636563252639186233374469511834444312851319889343264086693895643689677287849224727368165493341332284132133014377019928222524590828256190373768120685597435165823283395755305867665418227E-10,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674962119992133830337655462312883887121871680576495659188831446795372886800153225236600961286394680605490215091302925844431495985936043593587416667826968888677870090274393018701599747832367426902403112021575412899738534650876212577046719846134903156323010595692883895131086142322097378277153558052434E-29,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525895742983363756746632975920723860636563252639186233374469511834444312851319889343264086693895643689677287849224727368165493341332284132133014377019928222524590828256190373768120685597435165823283395755305867665418227E-4,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674962119992133830337655462312883887121871680576495659188831446795372886800153225236600961286394680605490215091302925844431495985936043593587416667826968888677870090274393018701599747832367426902403112021575412899738534650876212577046719846134903156323010595692883895131086142322097378277153558052434E-23
9,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525890764606220533049581547677399542584698555657222287169097025664228987149650703578015096357192937226254034377860277683088233649444979956679913955852942596319181107845852309154002989824904189035331463957270259918619331327413769015960139133680222668480255710601343358255364315205244380853521113589287059550561797752808988764045E-16,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674962119992133830337655462312883887121871680576495659188831446795372886800153225236600961286394680605490215091302925844431495985936043593587416667826968888677870090274393018701599747832367426902403112021575412899738534650876212577046719846134903156323010595692883895131086142322097378277153558052434E-35,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525890764606220533049581547677399542584698555657222287169097025664228987149650703578015096357192937226254034377860277683088233649444979956679913955852942596319181107845852309154002989824904189035331463957270259918619331327413769015960139133680222668480255710601343358255364315205244380853521113589287059550561797752808988764045E-10,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674962119992133830337655462312883887121871680576495659188831446795372886800153225236600961286394680605490215091302925844431495985936043593587416667826968888677870090274393018701599747832367426902403112021575412899738534650876212577046719846134903156323010595692883895131086142322097378277153558052434E-29,-0.0,-0.11372034956304619225967540574282147312178511741751261004090771283581390336419481562461826500607978441110208932075308372160417225409199678525890764606220533049581547677399542584698555657222287169097025664228987149650703578015096357192937226254034377860277683088233649444979956679913955852942596319181107845852309154002989824904189035331463957270259918619331327413769015960139133680222668480255710601343358255364315205244380853521113589287059550561797752808988764045E-4,-0.6466158952370710145401893076849942563460303586492648969179952286026397289291202094411034806119730063674962119992133830337655462312883887121871680576495659188831446795372886800153225236600961286394680605490215091302925844431495985936043593587416667826968888677870090274393018701599747832367426902403112021575412899738534650876212577046719846134903156323010595692883895131086142322097378277153558052434E-23
